"Credit Memos","Facturas rectificadas"
"Qty Shipped","Cantidad enviada"
"Recent Orders","Pedidos recientes"
"View All","Ver todos"
"Gift Message for This Order","Regalo mensaje para este pedido"
"Add to Cart","Añadir al carrito de compras"
"Search","Buscar"
"%name,","%name,"
"Thank you for your order from %store_name.","Thank you for your order from %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","You can check the status of your order by <a href=""%account_url"">logging into your account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Su factura rectificada nº %creditmemo_id para el pedido nº %order_id"
"Billing Info","Información de facturación"
"Shipping Info","Información de envío"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","El pedido nº %increment_id se ha actualizado con un estado de <strong>%order_status</strong>."
"Your Invoice #%invoice_id for Order #%order_id","Su factura nº %invoice_id para el pedido nº %order_id"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Once your package ships we will send you a tracking number."
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Once your package ships we will send an email with a link to track your order."
"Your shipping confirmation is below. Thank you again for your business.","Your shipping confirmation is below. Thank you again for your business."
"Your Shipment #%shipment_id for Order #%order_id","Su envío nº %shipment_id para el pedido nº %order_id"
"Gift Options for ","Gift Options for "
"Add Products","Añadir artículos"
"You have item changes","You have item changes"
"Ok","Aceptar"
"General","General"
"Hide Customer IP","Esconder al cliente IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Verificar los totales ordenados de los pedidos"
"Allow Reorder","Permite reordenar"
"Invoice and Packing Slip Design","Diseño de la factura y de la etiqueta del paquete postal"
"Logo for PDF Print-outs (200x50)","Logo para impresiones PDF (200x50)"
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    "
"Logo for HTML Print View","Logo para la vista de impresión HTML<br />(también para las plantillas de email)"
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    "
"Address","Dirección"
"Minimum Order Amount","Pedido mínimo"
"Enable","Activado"
"Minimum Amount","Importe mínimo"
"Subtotal after discount","Subtotal después de descuento"
"Include Tax to Amount","Include Tax to Amount"
"Description Message","Mensaje de descripción"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Este mensaje aparecerá en el carro de compras cuando el subtotal (después de descuento) es menor que el mínimo monto permitido."
"Error to Show in Shopping Cart","Error a mostrar en la cesta de la compra"
"Validate Each Address Separately in Multi-address Checkout","Validar cada dirección por separado en la salida de direcciones múltiples"
"Multi-address Description Message","Múltiple direcciones Mensaje descriptivo"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Múltiple direcciones Error en el carrito de compra"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Dashboard","Panel"
"Use Aggregated Data (beta)","Utilizar datos agregados (beta)"
"Orders Cron Settings","Orders Cron Settings"
"Pending Payment Order Lifetime (minutes)","Pending Payment Order Lifetime (minutes)"
"Sales Emails","Correos de Ventas"
"Asynchronous sending","Envío asincrónico"
"Enabled","Habilitado"
"New Order Confirmation Email Sender","Confirmación de pedido - Remitente de correo electrónico"
"New Order Confirmation Template","Plantilla para nueva confirmación de pedido"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"New Order Confirmation Template for Guest","Plantilla para nueva confirmación de pedido como visitante"
"Send Order Email Copy To","Enviar aviso de pedido en copia a correo electrónico"
"Comma-separated","Separados por comas"
"Send Order Email Copy Method","Enviar aviso de pedido en copia (método)"
"Order Comment Email Sender","Comentario del pedido – Remitente de correo electrónico"
"Order Comment Email Template","Comentario del pedido – Plantilla de correo electrónico"
"Order Comment Email Template for Guest","Comentario del pedido – Plantilla de correo electrónico para visitante"
"Send Order Comment Email Copy To","Enviar comentario de pedido en copia a correo electrónico"
"Send Order Comments Email Copy Method","Enviar comentario de pedido en copia (método)"
"Invoice Email Sender","Remitente de correo electrónico de la factura"
"Invoice Email Template","Plantilla de correo electrónico de la factura"
"Invoice Email Template for Guest","Plantilla de correo electrónico de factura para visitante"
"Send Invoice Email Copy To","Enviar aviso de factura en copia a correo electrónico"
"Send Invoice Email Copy Method","Enviar aviso de factura en copia (método)"
"Invoice Comment Email Sender","Remitente de correo electrónico para comentarios de la factura"
"Invoice Comment Email Template","Plantilla de correo electrónico para comentarios de la factura"
"Invoice Comment Email Template for Guest","Plantilla de correo electrónico para comentarios de la factura para visitante"
"Send Invoice Comment Email Copy To","Enviar comentario de factura en copia a correo electrónico"
"Send Invoice Comments Email Copy Method","Enviar comentario de factura en copia (método)"
"Shipment","Envío"
"Shipment Email Sender","Envío - Remitente de correo electrónico"
"Shipment Email Template","Envío - Plantilla de correo electrónico"
"Shipment Email Template for Guest","Envío - Plantilla de correo electrónico para visitante"
"Send Shipment Email Copy To","Enviar aviso de envío en copia a correo electrónico"
"Send Shipment Email Copy Method","Enviar aviso de envío en copia (método)"
"Shipment Comments","Comentarios del envío"
"Shipment Comment Email Sender","Comentario del envío - Remitente de correo electrónico"
"Shipment Comment Email Template","Comentario del envío - Plantilla de correo electrónico"
"Shipment Comment Email Template for Guest","Comentario del envío - Plantilla de correo electrónico para visitante"
"Send Shipment Comment Email Copy To","Enviar comentario de envío en copia a correo electrónico"
"Send Shipment Comments Email Copy Method","Enviar comentario de envío en copia (método)"
"Credit Memo Email Sender","Remitente de correo electrónico de factura rectificada"
"Credit Memo Email Template","Plantilla de correo electrónico de factura rectificada"
"Credit Memo Email Template for Guest","Plantilla de correo electrónico de factura rectificada para clientes"
"Send Credit Memo Email Copy To","Enviar copia de correo electrónico factura rectificada a"
"Send Credit Memo Email Copy Method","Enviar método de copia de correo electrónico de factura rectificada"
"Credit Memo Comment Email Sender","Remitente de correo electrónico de comentario de factura rectificada"
"Credit Memo Comment Email Template","Plantilla de correo electrónico de comentario de factura rectificada"
"Credit Memo Comment Email Template for Guest","Factura rectificada comentario plantilla de correo electrónico para clientes"
"Send Credit Memo Comment Email Copy To","Envíe copia del Email del comentario de factura rectificada a"
"Send Credit Memo Comments Email Copy Method","Enviar factura rectificada comentarios correo electrónico método de copia"
"PDF Print-outs","Impresos en PDF"
"Display Order ID in Header","Mostrar ID del pedido en la cabecera"
"Customer Order Status Notification","Notificación de estado de pedido del cliente"
"Asynchronous indexing","Asynchronous indexing"
"Orders and Returns Search Form","Buscador de Pedidos y Devoluciones"
"Anchor Custom Title","Anclar título personalizado"
"Template","Plantilla"
"Default Template","Plantilla (predeterminado)"
"Name","Nombre 	"
"Phone","Teléfono"
"ZIP/Post Code","Código postal"
"Signed-up Point","Signed-up Point"
"Website","Sitio web"
"order-header","order-header"
"Bill-to Name","Nombre de facturación"
"Created","Creado"
"Invoice Date","Fecha de la factura"
"Ship-to Name","Nombre de envío"
"Ship Date","Fecha de envío"
"Total Quantity","Total Quantity"
"Default Status","Estado predeterminado"
"State Code and Title","State Code and Title"
"All Store Views","Todas las vistas de la tienda"
"PDF Credit Memos","Facturas rectificadas PDF"
"Purchase Point","Punto de compra"
"Print Invoices","Imprimir facturas"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Imprimir facturas rectificadas"
"Print All","Imprimir todo"
"Print Shipping Labels","Imprimir etiquetas de envío"
"Purchase Date","Fecha de compra"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Correo electrónico del cliente"
"Shipping and Handling","Gastos de envío"
"PDF Invoices","Facturas PDF"
"PDF Shipments","Albaranes PDF"
"PDF Creditmemos","Facturas rectificadas PDF"
"Refunds","Reembolsos"
